,시도명,시군구명,년,월,구분,count,mean,거래날짜,타입
134,경기도,김포시,2021,05,월세,320,6144,2021-05-01,apt
135,경기도,김포시,2021,05,전세,521,30144,2021-05-01,apt
136,경기도,김포시,2021,06,월세,381,5660,2021-06-01,apt
137,경기도,김포시,2021,06,전세,705,30113,2021-06-01,apt
138,경기도,김포시,2021,07,월세,846,4200,2021-07-01,apt
139,경기도,김포시,2021,07,전세,702,31851,2021-07-01,apt
140,경기도,남양주시,2021,01,월세,544,6305,2021-01-01,apt
141,경기도,남양주시,2021,01,전세,1079,28936,2021-01-01,apt
142,경기도,남양주시,2021,02,월세,405,6743,2021-02-01,apt
143,경기도,남양주시,2021,02,전세,976,28735,2021-02-01,apt
144,경기도,남양주시,2021,03,월세,698,5927,2021-03-01,apt
145,경기도,남양주시,2021,03,전세,1145,29384,2021-03-01,apt
146,경기도,남양주시,2021,04,월세,410,6311,2021-04-01,apt
147,경기도,남양주시,2021,04,전세,997,30888,2021-04-01,apt
148,경기도,남양주시,2021,05,월세,483,6472,2021-05-01,apt
149,경기도,남양주시,2021,05,전세,1087,31080,2021-05-01,apt
150,경기도,남양주시,2021,06,월세,1296,5809,2021-06-01,apt
151,경기도,남양주시,2021,06,전세,1290,31982,2021-06-01,apt
152,경기도,남양주시,2021,07,월세,1444,5568,2021-07-01,apt
153,경기도,남양주시,2021,07,전세,1292,33403,2021-07-01,apt
154,경기도,동두천시,2021,01,월세,56,1708,2021-01-01,apt
155,경기도,동두천시,2021,01,전세,138,13525,2021-01-01,apt
156,경기도,동두천시,2021,02,월세,37,1741,2021-02-01,apt
157,경기도,동두천시,2021,02,전세,116,13621,2021-02-01,apt
158,경기도,동두천시,2021,03,월세,57,1817,2021-03-01,apt
159,경기도,동두천시,2021,03,전세,131,13558,2021-03-01,apt
160,경기도,동두천시,2021,04,월세,46,1813,2021-04-01,apt
161,경기도,동두천시,2021,04,전세,105,13357,2021-04-01,apt
162,경기도,동두천시,2021,05,월세,46,1778,2021-05-01,apt
163,경기도,동두천시,2021,05,전세,105,14424,2021-05-01,apt
164,경기도,동두천시,2021,06,월세,153,1746,2021-06-01,apt
165,경기도,동두천시,2021,06,전세,148,14658,2021-06-01,apt
166,경기도,동두천시,2021,07,월세,60,1057,2021-07-01,apt
167,경기도,동두천시,2021,07,전세,165,15274,2021-07-01,apt
168,경기도,부천시,2021,01,월세,241,5923,2021-01-01,apt
